temperatura,humedad,alimento,estado,vida_util
26.27,50.27,Platano,Deteriorado,2
21.61,48.2,Pollo,Fresco,11
27.27,58.89,Pollo,Deteriorado,2
19.26,60.04,Tomate,Deteriorado,2
25.99,58.65,Tomate,Fresco,12
18.18,81.18,Pollo,Fresco,12
23.8,87.56,Tomate,Maduro,4
30.93,86.51,Pollo,Deteriorado,1
34.89,45.84,Platano,Deteriorado,3
30.12,47.63,Platano,Deteriorado,2
20.23,46.51,Pollo,Deteriorado,3
21.66,72.73,Platano,Fresco,15
21.45,69.66,Platano,Deteriorado,2
32.81,61.14,Platano,Deteriorado,1
19.07,86.32,Platano,Maduro,7
34.72,66.75,Lechuga,Fresco,7
32.62,73.2,Pollo,Fresco,10
27.44,72.55,Tomate,Maduro,6
33.27,73.58,Lechuga,Maduro,4
27.39,61.62,Pollo,Fresco,13
30.89,55.25,Platano,Fresco,8
34.66,85.98,Tomate,Maduro,4
28.38,47.03,Platano,Deteriorado,1
30.78,78.01,Lechuga,Fresco,12
29.73,40.65,Pollo,Fresco,9
30.92,63.95,Lechuga,Maduro,5
25.82,65.28,Lechuga,Fresco,8
32.49,85.97,Platano,Maduro,4
26.74,56.18,Tomate,Deteriorado,1
21.33,53.03,Lechuga,Fresco,10
34.55,88.51,Pollo,Fresco,7
33.31,77.72,Platano,Deteriorado,2
34.06,79.3,Platano,Fresco,9
21.68,58.79,Pollo,Fresco,9
24.85,89.78,Pollo,Fresco,15
34.57,62.87,Pollo,Fresco,8
23.32,88.1,Pollo,Deteriorado,2
23.34,58.08,Tomate,Maduro,7
26.92,75.5,Platano,Maduro,7
32.9,65.19,Tomate,Fresco,7
18.84,56.38,Tomate,Deteriorado,3
22.8,80.49,Lechuga,Deteriorado,2
28.46,46.84,Lechuga,Fresco,8
19.66,70.42,Pollo,Maduro,3
33.26,45.46,Lechuga,Deteriorado,2
32.42,72.56,Tomate,Maduro,3
27.21,45.49,Platano,Deteriorado,3
35.0,73.69,Lechuga,Fresco,13
26.42,55.21,Lechuga,Maduro,6
25.52,77.07,Pollo,Fresco,7
21.12,40.56,Pollo,Fresco,10
28.86,84.53,Lechuga,Deteriorado,1
23.56,62.17,Tomate,Deteriorado,1
32.86,43.04,Platano,Fresco,9
32.14,77.04,Platano,Fresco,9
28.25,72.64,Platano,Deteriorado,1
27.98,62.5,Tomate,Fresco,11
24.62,74.03,Platano,Deteriorado,1
19.71,86.8,Platano,Maduro,7
31.28,71.44,Pollo,Deteriorado,2
31.54,85.79,Tomate,Maduro,3
27.5,47.0,Platano,Maduro,5
27.95,46.0,Lechuga,Fresco,12
29.22,47.91,Pollo,Maduro,4
32.66,42.38,Platano,Fresco,11
28.79,77.43,Lechuga,Deteriorado,1
27.26,86.23,Platano,Maduro,3
24.71,44.04,Pollo,Fresco,14
19.09,85.25,Platano,Deteriorado,3
29.01,49.35,Tomate,Fresco,7
29.86,72.12,Lechuga,Maduro,4
21.17,75.27,Pollo,Deteriorado,1
27.64,45.24,Tomate,Maduro,4
23.49,82.49,Tomate,Fresco,9
18.66,54.63,Pollo,Deteriorado,2
29.29,65.19,Pollo,Fresco,8
20.76,77.3,Tomate,Deteriorado,3
23.71,87.44,Pollo,Deteriorado,2
25.63,59.1,Tomate,Deteriorado,2
26.56,76.27,Platano,Maduro,3
19.41,55.24,Lechuga,Deteriorado,1
18.98,61.51,Tomate,Deteriorado,2
26.24,47.42,Lechuga,Maduro,5
24.65,86.96,Lechuga,Fresco,12
33.38,75.38,Tomate,Fresco,9
29.72,66.21,Pollo,Deteriorado,1
21.38,66.78,Platano,Fresco,8
21.38,81.17,Platano,Fresco,13
18.4,51.62,Platano,Deteriorado,2
30.62,63.36,Lechuga,Maduro,5
25.87,68.31,Pollo,Maduro,6
28.71,53.31,Pollo,Maduro,4
29.8,77.47,Platano,Fresco,8
23.56,88.64,Pollo,Deteriorado,1
26.96,44.06,Lechuga,Maduro,6
34.65,45.84,Tomate,Fresco,15
29.1,45.54,Platano,Maduro,5
22.83,71.7,Platano,Deteriorado,1
28.28,83.02,Pollo,Fresco,9
31.77,70.24,Pollo,Fresco,7
19.58,60.91,Platano,Deteriorado,1
28.48,54.11,Pollo,Fresco,7
34.34,54.83,Platano,Deteriorado,2
28.87,67.25,Pollo,Fresco,10
34.9,62.89,Lechuga,Fresco,15
26.93,64.92,Pollo,Maduro,5
23.12,54.8,Tomate,Fresco,12
21.59,71.44,Tomate,Fresco,10
25.62,43.23,Platano,Maduro,4
22.37,81.98,Platano,Maduro,3
18.9,74.63,Platano,Fresco,8
27.6,80.68,Lechuga,Maduro,5
22.67,68.02,Pollo,Fresco,15
20.68,88.78,Lechuga,Maduro,3
19.31,51.81,Lechuga,Fresco,12
18.11,79.57,Pollo,Maduro,4
22.04,74.04,Lechuga,Maduro,6
30.2,50.23,Platano,Maduro,3
24.15,68.27,Lechuga,Maduro,4
19.02,46.91,Lechuga,Fresco,11
21.82,81.05,Pollo,Fresco,8
32.3,55.39,Tomate,Maduro,4
26.06,80.85,Platano,Maduro,4
29.27,86.22,Pollo,Maduro,5
18.4,65.8,Lechuga,Fresco,14
23.79,47.06,Tomate,Deteriorado,3
29.53,85.38,Platano,Deteriorado,1
26.66,53.63,Platano,Deteriorado,1
33.1,86.69,Platano,Deteriorado,1
33.44,57.34,Lechuga,Deteriorado,1
20.21,77.37,Pollo,Deteriorado,2
30.65,88.39,Pollo,Maduro,4
24.94,60.49,Lechuga,Maduro,3
30.75,73.49,Platano,Maduro,4
21.31,50.26,Pollo,Deteriorado,2
21.04,67.97,Tomate,Fresco,10
30.68,54.64,Tomate,Deteriorado,2
29.9,69.0,Lechuga,Fresco,14
26.8,77.63,Pollo,Deteriorado,3
34.03,55.75,Lechuga,Fresco,10
20.37,60.6,Platano,Fresco,7
25.3,61.18,Pollo,Deteriorado,3
24.51,58.33,Platano,Maduro,6
26.55,59.24,Lechuga,Maduro,3
34.52,54.8,Pollo,Deteriorado,2
26.88,42.34,Tomate,Maduro,6
34.24,79.62,Pollo,Fresco,9
21.03,69.33,Tomate,Deteriorado,1
26.95,73.97,Platano,Maduro,4
24.11,65.45,Tomate,Fresco,9
31.68,82.09,Platano,Maduro,4
32.15,84.85,Tomate,Fresco,14
34.19,42.52,Pollo,Deteriorado,3
22.57,85.3,Pollo,Fresco,9
32.84,75.3,Tomate,Deteriorado,1
28.21,68.71,Lechuga,Deteriorado,3
34.97,70.39,Lechuga,Deteriorado,2
26.95,55.7,Platano,Deteriorado,3
23.2,77.5,Pollo,Deteriorado,2
22.0,73.56,Tomate,Deteriorado,3
22.41,73.64,Platano,Maduro,6
24.21,53.26,Tomate,Deteriorado,2
30.88,70.87,Tomate,Fresco,9
21.29,51.1,Pollo,Fresco,11
31.69,86.66,Tomate,Fresco,10
25.77,44.77,Tomate,Fresco,11
22.8,54.68,Pollo,Deteriorado,3
29.17,56.19,Pollo,Deteriorado,1
21.58,89.19,Tomate,Maduro,5
23.76,50.04,Tomate,Deteriorado,3
21.19,87.77,Lechuga,Fresco,13
20.2,78.12,Tomate,Fresco,11
24.88,60.0,Platano,Deteriorado,2
19.25,75.22,Platano,Maduro,3
19.83,78.43,Pollo,Maduro,4
28.53,76.85,Platano,Fresco,15
21.6,62.34,Tomate,Fresco,11
26.81,57.12,Pollo,Fresco,11
32.27,42.25,Platano,Fresco,13
24.54,65.14,Tomate,Deteriorado,2
21.76,88.12,Pollo,Maduro,6
20.86,43.19,Pollo,Maduro,3
22.28,79.19,Lechuga,Maduro,6
18.24,85.12,Platano,Maduro,6
22.84,44.58,Tomate,Fresco,9
21.29,53.47,Lechuga,Deteriorado,2
28.54,70.7,Pollo,Fresco,12
20.69,63.3,Pollo,Fresco,13
21.19,57.36,Lechuga,Deteriorado,1
27.07,70.76,Tomate,Fresco,8
23.98,45.02,Lechuga,Deteriorado,3
31.29,48.33,Platano,Fresco,10
24.69,57.89,Tomate,Maduro,7
32.72,78.65,Lechuga,Fresco,11
18.92,71.69,Platano,Fresco,11
22.16,88.79,Pollo,Deteriorado,1
